二俣湖,発,, 44430,, 50435, 51345,, 52435, ﾚ,, 53150,,, 53635,, 54740, 54610,,, 55740, 55610,,,, 60740, 60610,,, 61740, 61610,,, 62740, 62610,,,,, 63110, 63550,,,, 63910, 64350,,,, 64910, 65120,,,, 65710, 65920,,,, 70410, 70720,,,, 71210, 71520,,,, 72010, 72320,,,, 72810, 73120,,,, 73610, 73920,,,, 74410, 74720,,,, 75210, 75520,,,, 80010, 80320,,,, 80810, 81120,,,, 81610, 81920,,,, 82410, 82720,,,,, 83145, 83520,,,, 84010, 84220,,,, 84810,, 85020, 85600,, 85930,, 85800,,,, 90930, 90800,,, 91930,, 91800,,, 92930, 92800,,, 93930, 93800,,,, 94930, 94800,,, 95930, 95800,,,100930,100800,,,101930,101800,,,102930,102800,,,103930,103800,,,104930,104800,,,105930,105800,,,110930,110800,,,111930,111800,,,112930,112800,,,113930,113800,,,114930,114800,,,115930,115800,,,120930,120800,,,121930,121800,,,122930,122800,,,123930,123800,,,124930,124800,,,125930,125800,,,130930,130800,,,131930,131800,,,132930,132800,,,133930,133800,,,134930,134800,,,135930,135800,,,140930,140800,,,141930,141800,,,142930,142800,,,143930,143800,,,144930,144800,,,145930,145800,,,150930,150800,,,151930,151800,,,152930,152800,,,153930,153800,,,154930,154800,,,155930,155800,,,160930,160800,,,161930,161800,,,162930,162800,,,163930,163800,,,164930,164800,,,165930,165800,,,,170930,170800,,,171930,171800,,,,172930,172800,,, ﾚ,173930,173800,,,,174740,174610,,,175540,175415,,,180340,180210,,,181140,181010,,,181940,181810,,,182740,182610,,,183540,183410,,,184340,184210,,,185140,185010,,,185940,185810,,,190740,190610,,,191540,191410,,,192340,192210,,,193140,193010,,,193940,193810,,,194740,194610,,,195540,195410,,,200340,200210,,,201140,201010,,,201940,201810,,,202740,202610,,,203540,203410,,,204340,204210,,,205340,205210,,,210340,210210,,,210520,,211340,,211210,,,212340,212210,,,213340,213210,,,214340,214210,,,215340,215210,,,220340,220210,,,,221340,221210,,,222340,222210,,,,,223420,,224340,224210,,,225830,225710,,230020,231330,231210,,,232830,232710,,,234330,234210,,,235830,235710,,, 01830, 01710,,,, 03830, 03710,,, 05830,,
葉山二俣国大,着,, 44720,, 50725, 51635,, 52725, ﾚ,, 53440,,, 53925,, 55030, 54900,,, 60030, 55900,,,, 61030, 60900,,, 62030, 61900,,, 63030, 62900,,,,, 63400, 63840,,,, 64200, 64640,,,, 65200, 65410,,,, 70000, 70210,,,, 70700, 71010,,,, 71500, 71810,,,, 72300, 72610,,,, 73100, 73410,,,, 73900, 74210,,,, 74700, 75010,,,, 75500, 75810,,,, 80300, 80610,,,, 81100, 81410,,,, 81900, 82210,,,, 82700, 83010,,,,, ﾚ, 83810,,,, 84300, 84510,,,, 85100,, 85310, ﾚ,, 90220,, ﾚ,,,, 91220, ﾚ,,, 92220,, ﾚ,,, 93220, ﾚ,,, 94220, ﾚ,,,, 95220, ﾚ,,,100220, ﾚ,,,101220, ﾚ,,,102220, ﾚ,,,103220, ﾚ,,,104220, ﾚ,,,105220, ﾚ,,,110220, ﾚ,,,111220, ﾚ,,,112220, ﾚ,,,113220, ﾚ,,,114220, ﾚ,,,115220, ﾚ,,,120220, ﾚ,,,121220, ﾚ,,,122220, ﾚ,,,123220, ﾚ,,,124220, ﾚ,,,125220, ﾚ,,,130220, ﾚ,,,131220, ﾚ,,,132220, ﾚ,,,133220, ﾚ,,,134220, ﾚ,,,135220, ﾚ,,,140220, ﾚ,,,141220, ﾚ,,,142220, ﾚ,,,143220, ﾚ,,,144220, ﾚ,,,145220, ﾚ,,,150220, ﾚ,,,151220, ﾚ,,,152220, ﾚ,,,153220, ﾚ,,,154220, ﾚ,,,155220, ﾚ,,,160220, ﾚ,,,161220, ﾚ,,,162220, ﾚ,,,163220, ﾚ,,,164220, ﾚ,,,165220, ﾚ,,,170220, ﾚ,,,,171220, ﾚ,,,172220, ﾚ,,,,173220, ﾚ,,,172845?,174220, ﾚ,,,,175030,174900,,,175830, ﾚ,,,180630,180500,,,181430,181300,,,182230,182100,,,183030,182900,,,183830,183700,,,184630,184500,,,185430,185300,,,190230,190100,,,191030,190900,,,191830,191700,,,192630,192500,,,193430,193300,,,194230,194100,,,195030,194900,,,195830,195700,,,200630,200500,,,201430,201300,,,202230,202100,,,203030,202900,,,203830, ﾚ,,,204630,204500,,,205630, ﾚ,,,210630,210500,,,210810,,211630,, ﾚ,,,212630,212500,,,213630, ﾚ,,,214630, ﾚ,,,215630,215500,,,220630,220500,,,,221630,221500,,,222630,222500,,,,,223710,,224630,224500,,,230120,230000,,230310,231620,231500,,,233120,233000,,,234620,234500,,, 00120, 00000,,, 02120, 02000,,,, 04120, 04000,,, 10120,,
葉山二俣国大,番線,,3,,3,3,,3,3,4,3,,,3,,3,3,,,3,3,,,,3,3,,,3,3,,,3,3,,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,,3,3,,,,3,3,,,,3,,3,3,,3,,3,,,,3,3,,,3,,3,,,3,3,,,3,3,,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,,3,3,,,3,3,,,,3,3,,,4,3,3,,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,,3,,3,,,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,,3,3,,,3,3,,,,,3,,3,3,,,3,3,,4,3,3,,,3,3,,,3,3,,,3,3,,,3,3,,,,3,3,,,3,,
葉山二俣国大,発,, 44750,, 50755, 51705,, 52755, ﾚ, 53200, 53510,,, 53955,, 55100, 54930,,, 60100, 55930,,,, 61100, 60930,,, 62100, 61930,,, 63100, 62930,,,,, 63430, 63910,,,, 64230, 64710,,,, 65230, 65440,,,, 70030, 70240,,,, 70730, 71040,,,, 71530, 71840,,,, 72330, 72640,,,, 73130, 73440,,,, 73930, 74240,,,, 74730, 75040,,,, 75530, 75840,,,, 80330, 80640,,,, 81130, 81440,,,, 81930, 82240,,,, 82730, 83040,,,,, ﾚ, 83840,,,, 84330, 84540,,,, 85130,, 85340, ﾚ,, 90250,, ﾚ,,,, 91250, ﾚ,,, 92250,, ﾚ,,, 93250, ﾚ,,, 94250, ﾚ,,,, 95250, ﾚ,,,100250, ﾚ,,,101250, ﾚ,,,102250, ﾚ,,,103250, ﾚ,,,104250, ﾚ,,,105250, ﾚ,,,110250, ﾚ,,,111250, ﾚ,,,112250, ﾚ,,,113250, ﾚ,,,114250, ﾚ,,,115250, ﾚ,,,120250, ﾚ,,,121250, ﾚ,,,122250, ﾚ,,,123250, ﾚ,,,124250, ﾚ,,,125250, ﾚ,,,130250, ﾚ,,,131250, ﾚ,,,132250, ﾚ,,,133250, ﾚ,,,134250, ﾚ,,,135250, ﾚ,,,140250, ﾚ,,,141250, ﾚ,,,142250, ﾚ,,,143250, ﾚ,,,144250, ﾚ,,,145250, ﾚ,,,150250, ﾚ,,,151250, ﾚ,,,152250, ﾚ,,,153250, ﾚ,,,154250, ﾚ,,,155250, ﾚ,,,160250, ﾚ,,,161250, ﾚ,,,162250, ﾚ,,,163250, ﾚ,,,164250, ﾚ,,,165250, ﾚ,,,170250, ﾚ,,,,171250, ﾚ,,,172250, ﾚ,,,,173250, ﾚ,,,173100?,174250, ﾚ,,,,175100,174930,,,175900, ﾚ,,,180700,180530,,,181500,181330,,,182300,182130,,,183100,182930,,,183900,183730,,,184700,184530,,,185500,185330,,,190300,190130,,,191100,190930,,,191900,191730,,,192700,192530,,,193500,193330,,,194300,194130,,,195100,194930,,,195900,195730,,,200700,200530,,,201500,201330,,,202300,202130,,,203100,202930,,,203900, ﾚ,,,204700,204530,,,205700, ﾚ,,,210700,210530,,,210840,,211700,, ﾚ,,,212700,212530,,,213700, ﾚ,,,214700, ﾚ,,,215700,215530,,,220700,220530,,,,221700,221530,,,222700,222530,,,,,223740,,224700,224530,,,230150,230030,,,231650,231530,,,233150,233030,,,234650,234530,,, 00150, 00030,,, 02150, 02030,,,, 04150, 04030,,, 10150,,
古葉町,発,, 45020,, 51025, 51935,, 53025, ﾚ, ﾚ, ﾚ,,, 54225,, 55330, ﾚ,,, 60330, ﾚ,,,, 61330, ﾚ,,, 62330, ﾚ,,, 63330, ﾚ,,,,, ﾚ, 64140,,,, ﾚ, 64940,,,, ﾚ, 65710,,,, ﾚ, 70510,,,, ﾚ, 71310,,,, ﾚ, 72110,,,, ﾚ, 72910,,,, ﾚ, 73710,,,, ﾚ, 74510,,,, ﾚ, 75310,,,, ﾚ, 80110,,,, ﾚ, 80910,,,, ﾚ, 81710,,,, ﾚ, 82510,,,, ﾚ, 83310,,,,, ﾚ, 84110,,,, ﾚ, 84810,,,, ﾚ,, 85610, ﾚ,, 90520,, ﾚ,,,, 91520, ﾚ,,, 92520,, ﾚ,,, 93520, ﾚ,,, 94520, ﾚ,,,, 95520, ﾚ,,,100520, ﾚ,,,101520, ﾚ,,,102520, ﾚ,,,103520, ﾚ,,,104520, ﾚ,,,105520, ﾚ,,,110520, ﾚ,,,111520, ﾚ,,,112520, ﾚ,,,113520, ﾚ,,,114520, ﾚ,,,115520, ﾚ,,,120520, ﾚ,,,121520, ﾚ,,,122520, ﾚ,,,123520, ﾚ,,,124520, ﾚ,,,125520, ﾚ,,,130520, ﾚ,,,131520, ﾚ,,,132520, ﾚ,,,133520, ﾚ,,,134520, ﾚ,,,135520, ﾚ,,,140520, ﾚ,,,141520, ﾚ,,,142520, ﾚ,,,143520, ﾚ,,,144520, ﾚ,,,145520, ﾚ,,,150520, ﾚ,,,151520, ﾚ,,,152520, ﾚ,,,153520, ﾚ,,,154520, ﾚ,,,155520, ﾚ,,,160520, ﾚ,,,161520, ﾚ,,,162520, ﾚ,,,163520, ﾚ,,,164520, ﾚ,,,165520, ﾚ,,,170520, ﾚ,,,,171520, ﾚ,,,172520, ﾚ,,,,173520, ﾚ,,, ﾚ,174520, ﾚ,,,,175330, ﾚ,,,180130, ﾚ,,,180930, ﾚ,,,181730, ﾚ,,,182530, ﾚ,,,183330, ﾚ,,,184130, ﾚ,,,184930, ﾚ,,,185730, ﾚ,,,190530, ﾚ,,,191330, ﾚ,,,192130, ﾚ,,,192930, ﾚ,,,193730, ﾚ,,,194530, ﾚ,,,195330, ﾚ,,,200130, ﾚ,,,200930, ﾚ,,,201730, ﾚ,,,202530, ﾚ,,,203330, ﾚ,,,204130, ﾚ,,,204930, ﾚ,,,205930, ﾚ,,,210930, ﾚ,,, ﾚ,,211930,, ﾚ,,,212930, ﾚ,,,213930, ﾚ,,,214930, ﾚ,,,215930, ﾚ,,,220930, ﾚ,,,,221930, ﾚ,,,222930, ﾚ,,,,,224010,,224930, ﾚ,,,230420, ﾚ,,,231920, ﾚ,,,233420, ﾚ,,,234920, ﾚ,,, 00420, ﾚ,,, 02420, ﾚ,,,, 04420, ﾚ,,, 10420,,
二鳥新町,着,, 45155,, 51200, 52110,, 53200, 53310, 53435, 53745,,, 54400,, 55505, 55205,,, 60505, 60205,,,, 61505, 61205,,, 62505, 62205,,, 63505, 63205,,,,, 63705, 64315,,,, 64505, 65115,,,, 65505, 65845,,,, 70305, 70645,,,, 71005, 71445,,,, 71805, 72245,,,, 72605, 73045,,,, 73405, 73845,,,, 74205, 74645,,,, 75005, 75445,,,, 75805, 80245,,,, 80605, 81045,,,, 81405, 81845,,,, 82205, 82645,,,, 83005, 83445,,,,, 83555, 84245,,,, 84605, 84945,,,, 85405,, 85745, 90010,, 90655,, 90210,,,, 91655, 91210,,, 92655,, 92210,,, 93655, 93210,,, 94655, 94210,,,, 95655, 95210,,,100655,100210,,,101655,101210,,,102655,102210,,,103655,103210,,,104655,104210,,,105655,105210,,,110655,110210,,,111655,111210,,,112655,112210,,,113655,113210,,,114655,114210,,,115655,115210,,,120655,120210,,,121655,121210,,,122655,122210,,,123655,123210,,,124655,124210,,,125655,125210,,,130655,130210,,,131655,131210,,,132655,132210,,,133655,133210,,,134655,134210,,,135655,135210,,,140655,140210,,,141655,141210,,,142655,142210,,,143655,143210,,,144655,144210,,,145655,145210,,,150655,150210,,,151655,151210,,,152655,152210,,,153655,153210,,,154655,154210,,,155655,155210,,,160655,160210,,,161655,161210,,,162655,162210,,,163655,163210,,,164655,164210,,,165655,165210,,,170655,170210,,,,171655,171210,,,172655,172210,,,,173655,173210,,,173335,174655,174210,,,,175505,175205,,,180305,175825,,,181105,180805,,,181905,181605,,,182705,182405,,,183505,183205,,,184305,184005,,,185105,184805,,,185905,185605,,,190705,190405,,,191505,191205,,,192305,192005,,,193105,192805,,,193905,193605,,,194705,194405,,,195505,195205,,,200305,200005,,,201105,200805,,,201905,201605,,,202705,202405,,,203505,203205,,,204305,203820,,,205105,204805,,,210105,205620,,,211105,210805,,,211115,,212105,,211620,,,213105,212805,,,214105,213620,,,215105,214620,,,220105,215805,,,221105,220805,,,,222105,221805,,,223105,222805,,,,,224145,,225105,224805,,,230555,230305,,,232055,231805,,,233555,233305,,,235055,234805,,, 00555, 00305,,, 02555, 02305,,,, 04555, 04305,,, 10555,,
二鳥新町,番線,,2,,2,3,,3,4,1,2,,4,3,,2,4,4,,3,4,4,,,2,4,4,,3,4,4,,2,4,4,,,,3,4,4,,,2,4,4,,,3,4,4,,,2,4,4,,,3,4,4,,,2,4,4,,,3,4,4,,,2,4,4,,,3,4,4,,,2,4,4,,,3,4,4,,,2,4,4,,,3,4,4,,,2,4,4,,,3,4,4,,,,2,4,4,,,2,4,4,,,4,4,2,4,4,2,,4,4,,,2,4,4,,2,,4,4,,2,4,4,,2,4,4,,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,2,4,4,,,2,4,4,,2,4,4,,,2,4,4,,3,3,4,4,,,2,4,4,,3,4,4,,2,4,4,,3,4,4,,2,4,4,,3,4,4,,2,4,4,,3,4,4,,2,4,4,,3,4,4,,2,4,4,,3,4,4,,2,4,4,,3,4,4,,2,4,4,,3,4,4,,2,4,4,,3,4,4,,2,4,4,,3,4,4,,2,4,4,,3,4,4,,2,4,4,,3,4,4,,3,4,4,,4,4,3,,4,4,,3,4,4,,3,4,4,,3,4,4,,3,4,4,,3,4,4,,,3,4,4,,3,4,4,,,,4,,3,4,4,,3,4,4,,3,4,4,,3,4,4,,3,4,4,,3,4,4,,3,4,4,,,3,4,4,,3,,
二鳥新町,発,,,,,,,,,,,, 53440,,,,, 55305,,,, 60305,,,,, 61305,,,, 62305,,,, 63305,,,,,, 64415,,,,, 65215,,,,, 70015,,,,, 70815,,,,, 71615,,,,, 72415,,,,, 73215,,,,, 74015,,,,, 74815,,,,, 75615,,,,, 80415,,,,, 81215,,,,, 82015,,,,, 82830,,,,, 83645,,,,,, 84345,,,,, 85045,,,, 85605,,, 90110,,,, 90310,,,,, 91310,,,,, 92310,,,, 93310,,,, 94310,,,,, 95310,,,,100310,,,,101310,,,,102310,,,,103310,,,,104310,,,,105310,,,,110310,,,,111310,,,,112310,,,,113310,,,,114310,,,,115310,,,,120310,,,,121310,,,,122310,,,,123310,,,,124310,,,,125310,,,,130310,,,,131310,,,,132310,,,,133310,,,,134310,,,,135310,,,,140310,,,,141310,,,,142310,,,,143310,,,,144310,,,,145310,,,,150310,,,,151310,,,,152310,,,,153310,,,,154310,,,,155310,,,,160310,,,,161310,,,,162310,,,,163310,,,,164310,,,,165310,,,,170310,,,,,171310,,,,172310,,,,,173310,,,,,174310,,,,,175310,,,,180110,,,,180910,,,,181710,,,,182510,,,,183310,,,,184110,,,,184910,,,,185710,,,,190510,,,,191310,,,,192110,,,,192910,,,,193710,,,,194510,,,,195310,,,,200110,,,,200910,,,,201710,,,,202510,,,,203305,,,,203920,,,,204905,,,,205720,,,,210910,,,211245,,,,211910,,,,212910,,,,213910,,,,214910,,,,215910,,,,220910,,,,,221910,,,,222910,,,,,,,,224910,,,,230535,,,,231905,,,,233405,,,,234905,,,, 00405,,,, 02405,,,,, 04405,,,,
新二鳥,着,,,,,,,,,,,, 53730,,,,, 55555,,,, 60555,,,,, 61555,,,, 62555,,,, 63555,,,,,, 64705,,,,, 65505,,,,, 70305,,,,, 71105,,,,, 71905,,,,, 72705,,,,, 73505,,,,, 74305,,,,, 75105,,,,, 75905,,,,, 80705,,,,, 81505,,,,, 82305,,,,, 83120,,,,, 83935,,,,,, 84635,,,,, 85335,,,, 85855,,, 90400,,,, 90600,,,,, 91600,,,,, 92600,,,, 93600,,,, 94600,,,,, 95600,,,,100600,,,,101600,,,,102600,,,,103600,,,,104600,,,,105600,,,,110600,,,,111600,,,,112600,,,,113600,,,,114600,,,,115600,,,,120600,,,,121600,,,,122600,,,,123600,,,,124600,,,,125600,,,,130600,,,,131600,,,,132600,,,,133600,,,,134600,,,,135600,,,,140600,,,,141600,,,,142600,,,,143600,,,,144600,,,,145600,,,,150600,,,,151600,,,,152600,,,,153600,,,,154600,,,,155600,,,,160600,,,,161600,,,,162600,,,,163600,,,,164600,,,,165600,,,,170600,,,,,171600,,,,172600,,,,,173600,,,,,174600,,,,,175600,,,,180400,,,,181200,,,,182000,,,,182800,,,,183600,,,,184400,,,,185200,,,,190000,,,,190800,,,,191600,,,,192400,,,,193200,,,,194000,,,,194800,,,,195600,,,,200400,,,,201200,,,,202000,,,,202800,,,,203555,,,,204210,,,,205155,,,,210010,,,,211200,,,211535,,,,212200,,,,213200,,,,214200,,,,215200,,,,220200,,,,221200,,,,,222200,,,,223200,,,,,,,,225200,,,,230825,,,,232155,,,,233655,,,,235155,,,, 00655,,,, 02655,,,,, 04655,,,,
新二鳥,番線,3,,3,,,3,,,,,,4,,3,,,4,3,,,4,4,3,,,4,3,,,4,3,,,4,4,3,,,,4,3,,,,4,3,,,,4,3,,,,4,3,,,,4,3,,,,4,3,,,,4,3,,,,4,3,,,,4,3,,,,4,3,,,,4,3,,,,4,3,,,,4,3,,,,4,3,,,,4,4,3,,,,4,3,,,,4,,,,4,,,3,,3,,4,3,,,,4,3,,,,4,3,,,4,3,,,4,3,,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,4,,,4,3,,,4,3,4,,,4,3,,,,4,3,4,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,4,,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,4,3,,,,4,3,,,4,3,,,,3,,,4,3,,,3,,,,4,3,,,4,3,,,4,3,,,4,3,,,4,4,3,,,4,3,,,
新二鳥,発, 44500,, 50500,,, 52500,,,,,, 53800,, 55200,,, 55625, 60200,,, 60625, 61000, 61200,,, 61625, 62200,,, 62625, 63000,,, 63625, 63800, 64000,,,, 64735, 65000,,,, 65535, 65800,,,, 70335, 70600,,,, 71135, 71400,,,, 71935, 72200,,,, 72735, 73000,,,, 73535, 73800,,,, 74335, 74600,,,, 75135, 75400,,,, 75935, 80200,,,, 80735, 81000,,,, 81535, 81800,,,, 82335, 82600,,,, 83150, 83400,,,, 84005, 83800, 84230,,,, 84705, 85000,,,,,,,, 85925,,,,, 90030,, 90630, 90800,,,, 91630, 91800,,,, 92630, 92800,,, 93630, 93800,,, 94630, 94800,,,, 95630, 95800,,,100630,100800,,,101630,101800,,,102630,102800,,,103630,103800,,,104630,104800,,,105630,105800,,,110630,110800,,,111630,111800,,,112630,112800,,,113630,113800,,,114630,114800,,,115630,115800,,,120630,120800,,,121630,121800,,,122630,122800,,,123630,123800,,,124630,124800,,,125630,125800,,,130630,130800,,,131630,131800,,,132630,132800,,,133630,133800,,,134630,134800,,,135630,135800,,,140630,140800,,,141630,141800,,,142630,142800,,,143630,143800,,,144630,144800,,,145630,145800,,,150630,150800,,,151630,151800,,,152630,152800,,,153630,153800,,,154630,154800,,,155630,155800,,,160630,160800,,,161630,161800,,,162630,162800,,,163630,163800,,,164630,164800,,,165630,165800,,,170630,170800,171300,,,171630,171800,,,172630,172800,173300,,,173630,173800,,,,174630,174730,175200,,,175630,175800,,,180430,180600,,,181230,181400,,,182030,182200,,,182830,183000,,,183630,183800,,,184430,184600,,,185230,185400,,,190030,190200,,,190830,191000,,,191630,191800,,,192430,192600,,,193230,193400,,,194030,194200,,,194830,195000,,,195630,195800,,,200430,200600,,,201230,201400,,,202030,202200,,,202830,203000,,,,203800,,,204240,204600,,,,205400,,,210040,210400,,,211230,211400,,,,,,212230,212400,,,213230,213400,,,214230,214400,,,215230,215400,,,220230,220400,,,221230,221400,,,,222230,222400,,,223230,223400,,,,224400,,,225230,225900,,,230855,,,,232225,232400,,,233725,233900,,,,235400,,, 00725, 00900,,,, 03400, 02900,,, 04725, 04900,,,
北陽町,発, 44740,, 50740,,, 52740,,,,,, 54040,, 55440,,, ﾚ, 60440,,, ﾚ, ﾚ, 61440,,, ﾚ, 62440,,, ﾚ, 63240,,, ﾚ, ﾚ, 64240,,,, ﾚ, 65240,,,, ﾚ, 70040,,,, ﾚ, 70840,,,, ﾚ, 71640,,,, ﾚ, 72440,,,, ﾚ, 73240,,,, ﾚ, 74040,,,, ﾚ, 74840,,,, ﾚ, 75640,,,, ﾚ, 80440,,,, ﾚ, 81240,,,, ﾚ, 82040,,,, ﾚ, 82840,,,, ﾚ, 83640,,,, ﾚ, ﾚ, 84510,,,, ﾚ, 85240,,,,,,,, ﾚ,,,,, 90310,, ﾚ, 91040,,,, ﾚ, 92040,,,, ﾚ, 93040,,, ﾚ, 94040,,, ﾚ, 95040,,,, ﾚ,100040,,, ﾚ,101040,,, ﾚ,102040,,, ﾚ,103040,,, ﾚ,104040,,, ﾚ,105040,,, ﾚ,110040,,, ﾚ,111040,,, ﾚ,112040,,, ﾚ,113040,,, ﾚ,114040,,, ﾚ,115040,,, ﾚ,120040,,, ﾚ,121040,,, ﾚ,122040,,, ﾚ,123040,,, ﾚ,124040,,, ﾚ,125040,,, ﾚ,130040,,, ﾚ,131040,,, ﾚ,132040,,, ﾚ,133040,,, ﾚ,134040,,, ﾚ,135040,,, ﾚ,140040,,, ﾚ,141040,,, ﾚ,142040,,, ﾚ,143040,,, ﾚ,144040,,, ﾚ,145040,,, ﾚ,150040,,, ﾚ,151040,,, ﾚ,152040,,, ﾚ,153040,,, ﾚ,154040,,, ﾚ,155040,,, ﾚ,160040,,, ﾚ,161040,,, ﾚ,162040,,, ﾚ,163040,,, ﾚ,164040,,, ﾚ,165040,,, ﾚ,170040,,, ﾚ,171040, ﾚ,,, ﾚ,172040,,, ﾚ,173040, ﾚ,,, ﾚ,174040,,,, ﾚ,175010, ﾚ,,, ﾚ,180040,,, ﾚ,180840,,, ﾚ,181640,,, ﾚ,182440,,, ﾚ,183240,,, ﾚ,184040,,, ﾚ,184840,,, ﾚ,185640,,, ﾚ,190440,,, ﾚ,191240,,, ﾚ,192040,,, ﾚ,192840,,, ﾚ,193640,,, ﾚ,194440,,, ﾚ,195240,,, ﾚ,200040,,, ﾚ,200840,,, ﾚ,201640,,, ﾚ,202440,,, ﾚ,203240,,,,204040,,, ﾚ,204840,,,,205640,,, ﾚ,210640,,, ﾚ,211640,,,,,, ﾚ,212640,,, ﾚ,213640,,, ﾚ,214640,,, ﾚ,215640,,, ﾚ,220640,,, ﾚ,221640,,,, ﾚ,222640,,, ﾚ,223640,,,,224640,,, ﾚ,230140,,,231135,,,, ﾚ,232640,,, ﾚ,234140,,,,235640,,, ﾚ, 01140,,,, ﾚ, 03140,,, ﾚ, 05140,,,
